Username,Comment
@webdevelopete,"WOW! Thanks so much to everyone who's watched the video and shared their thoughts—it means a lot! 🙏 
I’m reading every comment and replying to as many as I can, so feel free to drop your questions or just say hi!

Also, if you want to connect more, I’m sharing extra tips and behind-the-scenes on Instagram too 👉 @webdevelopete

Appreciate you all! ❤

If you want to learn by doing, this is a great place to start for free: https://scrimba.com/home?via=webdevelopete (affiliate link to give you a 20% off the pro plan)

👇 Let’s Talk:
Which one of these lessons hit you the hardest?
Drop it in the comments — your insight could help someone else just starting out.

👍 Like the video?
Consider subscribing for more dev mindset, self-taught advice, and painfully honest truths about coding."
@peace389,非常好的建议 还有一点 相信相信的力量😄
@Noidnoid-s3r,"Thanks, bro."
@afayes,"Great advice for perfectionists. I however disagree with one thing, other devs to care about how your code looks as they will maintain it. It is not uncommon for a dev to come a accross terribly written that causes a lot suffering. We need a balance between not being too perfect and not being careless either"
@BRAAMER702,Thanks. Learning Python on my own and  the video is great.
@chrydan,Thank you so much. Wise words
@Froogieboi-b2d,isn't all of that common sense? i mean ive been learning code (trying to) for two weeks after school
@10minutemovies4,"Hey Pete, do you have a moment to chat? I could really use your insight on something important. I’d appreciate your help when you have a chance."
@dqtb5905,The most on point and helpful dev help videos i've seen;
@shaikasma4202,"Thank a million ! 
Every point of the video is the thing which I hope wanted to listen and know that has never been told"
@kcelma746,Last : most developers spend their time looking at legacy code and fixing bugs since most of the projects are maintenance and not from scratch
@blockchaingist,"You don't have to know everything 😅.
Just start building"
@ahmedwaqas4904,You said things which maybe cannot be said better...
@UmmeAeman-w6t,Timely and much appreciated inspiration💫
@george-octavianpadurariu7885,Tell this to the companies that wants you to memorize crazy shit that are 1 click distance...
@abdulquadriadediji8066,Every Bit of it hit me really hard especially this perfection part
@margox.t,All of the points helped me thank you very much!
@SiNKarnage,"I was a coder without realizing I was coding back in the early 2010s when I built this bot script with a program to automate a Online JRPG on my computer while I sleep. I shared my codes alot with a community to score points towards keeping that program alive but after many game patches and updates Ive lost touch with it and stop playing and never looked back. 

Fast forward to today I'm trying to get back into coding with Python to automate my livelihood right now."
@kimhwanhoon,"I’m from Korea, 3 years ago I didn’t even know what HTML really was, and now I’m working in Paris as a frontend dev having almost a senior role. My goal is to work in the biggest cities in the world, like Manhattan or San Francisco. I’ll keep learning hard and working hard to achieve my dreams, I don’t want to worry about spending money in my life, let’s set up a goal and keep going forward !!!"
@LanzoMartin-y1f,I thought I had to know everything. Thank you pete
@ratioreid343,"Earned a sub, mate 🫡"
@Powerasp,Coding is chatgpt lol
@HashmatKhan-vh6du,Thanks
@macieksala,"Uff, I need this, thanks!"
@karam68466,"im 14 and i started php and laravel i did a complete project, made it safe, not buggy and not laggy"
@azadgamer07-ln5,"It's like this video was destined to reach people like who wants to be a developer 
I want to be a game designer,developer  
And this video randomly entered my YouTube feed 

And thanks men i actually do this all the time when I first known to coding and you made it clear I was right my heart feels light now"
@LaibaQaiser-wb2og,"the googling point.. I used to feel myself dumb, whenever had to google any quick syntax.. but now.. it feels cool😎❤"
@ニコラウスフランツ,"I am wondering if some people memorize all of the code or how the hell they come up with a new type of code that never existed, is that possible? for the first question it's been answered so thank you, but for the second question is it possible and how? I'm new and a student and this question always bugged me out and make me lose interest in coding overall."
@grab3,perfect and java script ....
@rickyS-D76,"""Nobody care about your code, they care about what it is does."" 👍"
@jimmychu-bn4hi,Hi! I want to learn data analysis I have been watching 10+ hour videos any good YouTube playlists that I can follow along get my hands dirty
@ganeshbobby7662,I want to learn full stack java developer please help me to learn from beggining to pro give me tips to learn how to code
@sumwonche5688,"In a burn-out phase here (stalled for a month), having worked on the same project solo for 17 months (still several months to finish), no vacations, no life...Trying to exit that state currently. Fortunately I work out a bit - though not as consistently as I should, but it gives me endorphins that prevent me from having a complete breakdown."
@JoshuaNdukwu-Cyril,"Basically everything....I needed to hear everything. 
""No one needs your codes""
""You don't need to grind 24/7 to prove something"".

Thank you so much sir"
